"Order Update","تحديث طلب الشراء"
"Order Update for Guest","تحديث طلب الشراء لزائر"
"Edit","تحرير"
"Purchased On","تشتري على"
"Shipping","تشحن"
"Apply","تطبيق"
"Apply Coupon Code","تطبيق كود الكوبون"
"Comment","تعليق"
"Invoice Comments","تعليقات الفاتورة"
"Change Status","تغيير الحالة"
"New","جديد"
"Partial","جزئي"
"Save in address book","حفظ في دفتر العناوين"
"New Status","حالة جديدة"
"Order Status","حالة طلب الشراء"
"Unknown Status","حالة غير معروفة"
"Delete","حذف"
"Discount","خصم"
"Discount ","خصم "
"Discount (%s)","خصم (%s)"
"Discount :","خصم :"
"Unknown State","دول غير معروفة"
"Catalog prices include tax","دليل الاسعار تشمل الضرائب"
"Number","رقم"
"Tracking Number","رقم التعقب"
"Link to the previous order","رابطة للامر القديم"
"Link to the new order","رابطة للامر الجديد"
"Backordered","رجوع الامر"
"Refund","رد"
"Refund #","رد #"
"Refund #%s","رد #%s"
"Shipping Refund","رد الشحن"
"Refund Offline","رد خارج الشبكة"
"Refunds","ردود"
"Message","رسالة"
"Gift Message","رسالة هدية"
"Gift Message for Entire Order","رسالة هدية لكل طلب الشراء"
"Gift Message for this Order","رسالة هدية لطلب الشراء هذا"
"Shipment email not sent","رسالة البريد الالكتروني للشحنه لم ترسل"
"Message:","رسالة:"
"Packingslip # ","زلة التعبئة # "
"Guest","زائر"
"Item","سلعة"
"Gift Certificate","شهادة هدية"
"Ship","شحن"
"Ship to","شحن الى"
"Ship to Name","شحن الى الاسم"
"Ship to First Name","شحن الى الاسم الاول"
"Ship to Last name","شحن الى الاسم الاخير"
"SHIP TO:","شحن الى:"
"Items Shipped","شحن البنود"
"New Shipment","شحن جديد"
"New Shipment for Guest","شحن جديد لزائر"
"Shipment","شحنه"
"Shipment #","شحنه #"
"Shipment #%s","شحنه #%s"
"Shipments","شحنات"
"Purchased From","شراؤها من"
"Purchased from (store)","شراؤها من (المخزن)"
"Logo (200x50)","شعار (200x50)"
"Order","طلب الشراء"
"Order # ","طلب الشراء # "
"Order #","طلب الشراء #"
"Order # %s","طلب الشراء # %s"
"Order #%s","طلب الشراء #%s"
"Order #%s - %s","طلب الشراء #%s - %s"
"This order no longer exists.","طلب الشراء هذا لم يعد موجودا."
"New Order","طلب شراء جديد"
"Print","طباعة"
"Print All Invoices","طباعة كل الفواتير"
"Print Invoices","طباعة الفواتير"
"Print Invoice","طباعة الفاتورة"
"Print All","طباعة الكل"
"Print Credit Memos","طباعة المذكرة الائتمانية"
"Print Refund","طباعة الاسترداد"
"Print Shipment","طباعة الشحنة"
"Print All Refunds","طباعة جميع الردود"
"Print All Shipments","طباعة جميع الشحنات"
"Print Packingslips","طباعة زلة التعبئة"
"Print Order","طباعة طلب الشراء"
"Print Order # %s","طباعة طلب الشراء # %s"
"Payment Method","طريقة الدفع"
"Shipping Method","طريقة الشحن"
"Shipping Method:","طريقة الشحن:"
"About This Order:","عن هذا الامر:"
"About Your Order","عن امرك"
"Address","عنوان"
"Billing Address","عنوان الفاتورة"
"Shipping Address","عنوان الشحن"
"Items to Invoice","عناصر للفواتير"
"Items to Refund","عناصر للاسترداد"
"Items to Ship","عناصر للشحن"
"Sorry, no quotes are available for this order at this time.","عذرا ، لم يقتبس متوفره لهذا النظام في هذا الوقت."
"Shopping Cart","عربة التسوق"
"View","عرض"
"View All","عرض الكل"
"View Order","عرض طلب الشراء"
"Order View","عرض طلب الشراء"
"Unhold","غير منتظرة"
"Not Capture","غير اسرة"
